id|fullname|Nation_team|Batting|Bowling
2013|Bradley John Hodge|Australia|Right-hand bat|Right-arm offbreak
2015|George Bradley Hogg|Australia|Left-hand bat|Slow left-arm chinaman
2019|James Redfern Hopes|Australia|Right-hand bat|Right-arm medium
2023|David John Hussey|Australia|Right-hand bat|Right-arm offbreak
2024|Ryan James Harris|Australia|Right-hand bat|Right-arm fast
2025|Michael Edward Killeen Hussey|Australia|Left-hand bat|Right-arm medium
2026|Benjamin William Hilfenhaus|Australia|Right-hand bat|Right-arm fast-medium
2027|Moises Constantino Henriques|Australia|Right-hand bat|Right-arm fast-medium
2029|Mitchell Guy Johnson|Australia|Left-hand bat|Left-arm fast
2030|David Trent Johnston|Ireland|Right-hand bat|Right-arm fast-medium
2038|Kamran Shazad|United Arab Emirates|Right-hand bat|Right-arm medium-fast
2039|Jason John Krejza|Australia|Right-hand bat|Right-arm offbreak
2043|Salman Faris|United Arab Emirates|Left-hand bat|Legbreak
2047|Brett Lee|Australia|Right-hand bat|Right-arm fast
2052|Sharafuddin Ashraf|Afghanistan|Left-hand bat|Slow left-arm orthodox
2054|Hamish John William Gardiner|Scotland|Right-hand bat|none
2062|Graham Allan Manou|Australia|Right-hand bat|none
2065|Damien Richard Martyn|Australia|Right-hand bat|Right-arm medium
2076|Shaun Edward Marsh|Australia|Left-hand bat|Slow left-arm orthodox
2077|Clinton James McKay|Australia|Right-hand bat|Right-arm fast-medium
2079|Marcus James North|Australia|Left-hand bat|Right-arm offbreak
2081|Dirk Peter Nannes|Australia|Right-hand bat|Left-arm fast
2086|Usman Ghani|Afghanistan|Right-hand bat|none
2087|Ricky Thomas Ponting|Australia|Right-hand bat|Right-arm medium
2091|Timothy David Paine|Australia|Right-hand bat|Right-arm medium
2100|Mohammad Shahzad|United Arab Emirates|Right-hand bat|Right-arm medium
2101|Irfan Sajid|United Arab Emirates|Right-hand bat|Legbreak
2102|Luke Ronchi|New Zealand|Right-hand bat|none
2111|Andrew Symonds|Australia|Right-hand bat|Right-arm medium, Right-arm offbreak
2112|Peter Matthew Siddle|Australia|Right-hand bat|Right-arm fast-medium
2120|Shaun William Tait|Australia|Right-hand bat|Right-arm fast
2122|Adam Charles Voges|Australia|Right-hand bat|Slow left-arm orthodox
2127|Shane Robert Watson|Australia|Right-hand bat|Right-arm fast-medium
2140|Cameron Leon White|Australia|Right-hand bat|Legbreak googly
2157|James Michael Anderson|England|Left-hand bat|Right-arm fast-medium
2159|Moeen Munir Ali|England|Left-hand bat|Right-arm offbreak
2164|Gareth Jon Batty|England|Right-hand bat|Right-arm offbreak
2165|Ian Ronald Bell|England|Right-hand bat|Right-arm medium
2176|Douglas Robert Brown|Scotland|Right-hand bat|Right-arm fast-medium
2177|Timothy Thomas Bresnan|England|Right-hand bat|Right-arm medium-fast
2184|Mahuru Douglas Dai|Papua New Guinea|Right-hand bat|Right-arm medium, Legbreak googly
2186|Asadollah Vala|Papua New Guinea|Left-hand bat|Right-arm offbreak
2187|Jack Nomani Tiki Vare|Papua New Guinea|Right-hand bat|none
2188|Panagamuwa Lahiru Sampath Gamage|Sri Lanka|Right-hand bat|Right-arm fast-medium
2189|Solomon Farai Mire|Zimbabwe|Right-hand bat|Right-arm medium-fast
2190|Tony Pala Ura|Papua New Guinea|Right-hand bat|none
2192|Charles Jordan Alewa Amini|Papua New Guinea|Left-hand bat|Legbreak
2193|Peter Joseph Moor|Zimbabwe|Right-hand bat|Right-arm offbreak
2194|Vani Vagi Morea|Papua New Guinea|Right-hand bat|Right-arm medium
2195|Afsar Khan Zazai|Afghanistan|Right-hand bat|none
2196|Dickwella Patabendige Dilantha Niroshan Dickwella|Sri Lanka|Left-hand bat|none
2197|Lega Siaka|Papua New Guinea|Right-hand bat|Right-arm fast-medium
2198|Norman Vanua|Papua New Guinea|Right-hand bat|Right-arm medium
2201|Salman Faisal Abdul Karim Farooq|United Arab Emirates|Right-hand bat|Right-arm offbreak
2202|Kedar Mahadav Jadhav|India|Right-hand bat|Right-arm offbreak
2203|Karn Vinod Sharma|India|Left-hand bat|Legbreak googly
2204|Mohammad Sabbir Rahman|Bangladesh|Right-hand bat|Legbreak
2205|Andri Raffaelo Berenger|United Arab Emirates|Right-hand bat|none
2206|Taijul Islam|Bangladesh|Left-hand bat|Slow left-arm orthodox
2207|Kinchit Devang Shah|Hong Kong|Left-hand bat|Right-arm offbreak
2208|Aizaz Mohammad Khan|Hong Kong|Right-hand bat|Right-arm medium-fast
2209|Soumya Sarkar|Bangladesh|Left-hand bat|Right-arm medium-fast
2210|Nasir Aziz|United Arab Emirates|Right-hand bat|Right-arm offbreak
2211|Anshuman Rath|Hong Kong|Left-hand bat|none
2213|Jubair Hossain|Bangladesh|Right-hand bat|Legbreak
2214|Jonathan Lyndon Carter|West Indies|Left-hand bat|Right-arm medium
2215|Gurinder Singh Sandhu|Australia|Left-hand bat|Right-arm fast-medium
2216|Saqlain Haider|United Arab Emirates|Left-hand bat|none
2218|Sheldon Shane Cottrell|West Indies|Right-hand bat|Left-arm fast-medium
2219|Pathira Vasan Dushmantha Chameera|Sri Lanka|Right-hand bat|Right-arm medium-fast
2225|Paskuwal Handi Tharindu Kaushal|Sri Lanka|Right-hand batnone|Right-arm offbreak
2227|Nadif Chowdhury|Bangladesh|Right-hand bat|Slow left-arm orthodox
2228|Mohammad Rizwan|Pakistan,Pakistan A,Pakistan Under-19s,Pakistan Under-23s,Peshawar,Peshawar Panthers,Sui Northern Gas Pipelines Limited|Right-hand bat|none
2229|Hafiz Saad Nasim|Pakistan,Lahore Eagles,Lahore Lions,Lahore Ravi,Lahore Shalimar,Pakistan A,Punjab (Pakistan)|Right-hand bat|Legbreak
2230|Sami Aslam|National Bank of Pakistan,Pakistan Under-19s|Left-hand bat|Right-arm medium
2231|Jason Jonathan Roy|England,Chittagong Kings,England Lions,Surrey,Surrey 2nd XI|Right-hand bat|none
2232|Samuel William Billings|England,England Under-19s,Kent,Kent 2nd XI,Loughborough Marylebone Cricket Club University (England)|Right-hand bat|none
2233|Mitchell Josef Santner|New Zealand,New Zealand Masters,Northern Districts,Northern Districts A,Northern Districts Under-19s|Left-hand bat|Slow left-arm orthodox
