bat_id,Attack_swot,Defend_swot,Leave_swot,Gentle Shot_swot,Back Foot_swot,Front Foot_swot,Wide Off Stump_swot,Outside Off Stump_swot,Stumps_swot,Down Leg Stump_swot,Wide Down Leg Stump_swot,Yorker_swot,Full Toss_swot,Full Length_swot,Good Length_swot,Short of Length_swot,Over Pitched_swot,Fine Leg Region_swot,Square Leg Region_swot,Wid-Wicket Region_swot,Long On Region_swot,Long Off Region_swot,Cover Region_swot,Point Region_swot,Third-man Region_swot
1346,-0.0920253,0.648185,1,-0.255758,0.364749,-0.0508806,0.3,0.0159178,0.0280057,0.454242,-0.3,-0.323184,0.266143,-0.0775717,0.56194,-0.0106921,-0.0290234,-0.166581,0.0519263,0.562486,0.166796,0.622343,-0.110241,0.637477,0.145716
1351,-0.247197,-0.164828,0.275588,-0.259558,-0.884446,0.228287,0,-0.0217058,0.751757,-0.3,-0.3,-0.0807692,0.12766,0.755521,-0.299318,-0.140012,0.0661847,-0.066794,-0.0934768,0.0867769,-0.24679,-0.286807,-0.126935,-0.318928,-0.107071
1365,0.300523,-0.488634,0.54609,-0.625366,-0.728569,-0.253975,0,0.67853,-0.35612,-0.0961806,0.148387,-0.191053,-0.424368,0.696074,-0.166787,-0.141029,-0.104702,-0.0706351,-0.034119,-0.347583,0.364215,0.702108,-0.186627,0.73404,0.745904
1368,0.68449,-0.128248,0.190868,0.235608,0.695855,0.73138,-0.116667,0.594495,0.45314,-0.250694,-0.3,0.406399,0.721924,0.160956,-0.0155943,0.0620767,-0.405989,0.489625,0.0144094,0.00646426,0.176198,0.692009,0.428996,-0.241609,0.710008
1369,-0.268704,0.817374,0.836958,0.343905,-0.426582,-0.0572655,0.0666667,-0.240402,0.560321,-0.349257,-0.3,0.62563,0.139903,0.46111,0.0785215,-0.225118,-0.00705227,-0.0332124,-0.0778374,-0.148736,0.70432,0.100211,0.0387819,0.0567787,0.498936
1385,-0.285865,-0.3,-1,-0.177287,-0.804841,0.130334,0,-0.521157,-0.437514,0.23923,0,0.0653846,0.167753,-0.404929,-0.777644,0.749368,0.237071,0.13976,-0.436695,-0.242394,-0.152279,0.542836,-0.062183,-0.00318249,-0.302501
1390,-0.704512,1,0.606351,0.3,-0.0161028,-0.227675,0,0.545346,0.126872,0.162197,-0.3,0.108966,0.224151,-0.248703,0.588589,0.832487,-0.0314646,0.0171601,-0.512657,-0.328306,-0.37084,0.831824,-0.299398,0.269851,0.775433
1395,-0.476963,-0.459963,-0.544591,-0.3182,-0.523818,-0.16677,-0.3,-0.508675,-0.304929,-0.621427,-0.3,-0.303302,-0.0841138,-0.228633,0.364361,0.717607,0.285895,0.0518079,-0.2862,0.452441,-0.173838,-0.00817674,-0.620907,-0.654832,0.102484
1403,-0.424594,-0.208565,-0.751285,-0.32954,-0.107778,-0.215621,-0.3,-0.388266,-0.416021,-0.147149,-0.3,0.0750851,-0.0409366,-0.114131,0.293956,-0.431507,0.0661847,-0.719279,-0.444424,-0.277126,-0.0362117,0.287141,-0.182842,0.0577393,0.755206
1409,0.0168181,-0.868719,-0.122304,0.0432552,0.0459997,-1,0,-0.332901,-0.225487,0.179316,0.3,-0.0369231,0.0929129,-0.0115452,-0.653006,-0.181462,0.139422,0.138427,-0.28607,0.0393663,-0.260437,0.084501,0.0636141,-0.0271677,-0.689781
1430,-0.24855,0.61483,-0.209069,0.0104929,-0.346821,-0.570605,-0.208333,-0.00782448,0.257596,0.202042,0.3,0.161164,-0.349422,0.570999,-0.135419,0.464243,-0.0341771,0.322984,0.696178,0.677861,-0.194099,-0.0286165,0.132552,0.669021,-0.279631
1431,-0.569263,-0.616855,-1,-0.0651412,-0.907274,0.10502,0,-0.542747,-0.685932,-0.196302,-0.3,-0.859256,-0.112899,-0.626655,-0.197134,-0.636227,-0.153526,0.00783188,-0.109341,-0.831353,-0.265787,-0.351674,-0.323811,-0.568444,-0.327208
1435,-0.194914,0.399134,-0.234187,0.700424,0.708401,-0.0649438,0.0235294,0.303815,0.241448,-0.112877,-0.3,-0.276776,0.0776709,0.1924,0.669811,0.369506,0.080832,0.0989095,0.628484,0.20745,0.6045,0.108327,0.669661,0.688288,0.584223
1436,0.3,-0.232938,0.0350278,0.641724,0.074833,-0.164993,0,-0.0608754,0.742776,-0.3,0,0.138462,0.0742027,0.731424,-0.0979877,-0.062575,0.0417723,0.126229,-0.646215,0.411837,0.289378,-0.458394,-0.261504,-0.205662,0.131671
1441,0.175227,-0.689793,-0.388405,0.0131451,0.110074,0.206275,0,-0.414558,-0.461432,-0.3,0.3,-0.3,0.0742027,-0.31384,0.308222,-0.18914,0,-0.0126902,0.1917,-0.316003,-0.105852,0.084501,-0.0355534,-0.237518,-0.344809
1478,0.644458,0.612303,0.797679,0.119587,0.821217,0.675245,0.213333,0.198733,0.287001,0.406859,0.3,0.68995,0.24086,0.569621,0.442845,0.167665,0.0222425,0.00427623,0.110161,-0.0460107,0.240867,0.658943,0.600292,0.308849,0.48089
1512,-0.00933732,-0.220142,-0.487094,-0.133793,-0.631637,0.0164218,0,0.476568,-0.162136,-0.000427742,0.3,-0.3,-0.532033,0.829323,0.710457,-0.315726,0.202196,0.00783188,0.271896,0.172864,-0.027346,-0.263853,0.161381,-0.360523,-0.289918
1517,0.706079,0.12881,-0.164187,-0.148456,-0.22788,0.468418,-0.226667,0.0225232,0.28157,0.395065,-0.156516,-0.0716771,0.673227,-0.3064,0.16917,0.197361,0.00341015,-0.0984527,0.101978,0.136495,0.673227,-0.475844,-0.0805689,0.0984032,0.279229
1524,-0.103534,0.0173256,-0.621033,0.0525983,-0.418191,-0.00791836,0,-0.0343633,0.285722,-0.175562,-0.3,0.411114,0.0253937,0.708367,-0.385718,-0.416958,-0.174451,-0.00448139,-0.22273,0.0416193,-0.331823,0.366519,-0.274894,0.328002,0.612734
1532,-0.451259,-0.137469,-0.487875,-0.308475,-0.451348,0.0375166,-0.3,-0.319373,-0.0656552,-0.582538,-0.3,-0.0985562,-0.452312,-0.135269,0.983591,-0.450215,0.0478754,0.0298199,-0.322367,-0.368847,-0.432371,0.464038,-0.306672,-0.275484,-0.341702
1549,-0.391432,-0.538443,0.810068,0.0706893,-0.37461,-0.922229,-0.116667,-0.180219,-0.146868,0.207511,-0.3,-0.673913,-0.673777,-0.18087,-0.278244,-0.263556,-0.202351,-0.661742,-0.355775,-0.435427,-0.0013105,-0.357394,-0.097769,0.0283938,-0.0162823
